Sample,Max. RH at Cond. [h],Pressure [bar],LHSV [h-1],Temperature [°C],H2/Oil [Nl/l],N [wt ppm],S [wt ppm],SG 60/60 [°F],Water [wt %],H [wt %],O [wt %],Carbonyl number [mol/kg],MCR [wt %],Viscosity [cSt],CAN [mg KOH/g],MCR removal [%],Oxygen removal [%]
Cnd_2,107,140,0.49,140,3046,1036,91,1.076,1.5,7.63,11.9,3.5,12.6,48.9,8.5,1.25,5.4
Cnd_ 3,158,140,0.49,160,3042,744.1,68.89,1.072,1.4,7.72,11.9,2.7,11.4,43.5,9.9,10.83,4.8
Cnd_ 4,207,140,0.49,180,3042,502.6,47,1.0661,1.6,7.91,11.1,1.8,10.2,39.1,8.6,19.85,11.7
Cnd_ 4**,445,140,0.49,180,3042,555,48.46,1.0692,1.3,7.84,11.5,2.4,10.4,38.5,9.7,18.25,8
Cnd_ 5,277,140,0.49,200,3042,507.7,33.75,1.0579,2.1,8.11,11.4,1.6,8.2,30.8,8.3,35.97,9.3
Cnd_ 5**,674,140,0.5,200,3011,420.1,41.22,1.058,2.8,7.99,12.4,2.1,9,28,8.9,29.45,0.6
Cnd_ 8,726,140,0.5,200,1008,1051,46.15,1.0551,3,7.95,12.4,1.3,8.9,27.3,8.3,30.23,0.8
Cnd_ 7,627,170,0.5,200,3007,815.4,40.93,1.0562,2.8,8.06,12.1,1.7,8.7,25.8,9,31.98,3
Cnd_ 6,346,140,0.49,220,3042,384.3,21.87,1.0491,1.9,8.26,9.5,1.9,6.7,25.7,9,47.48,24
Cnd_ 9,777,140,1,200,2157,1029,45.83,1.0592,2.3,7.9,11.7,2.2,9.8,24.3,8.3,23.02,6.5
Feed,0,0,0,0,0,525,76,1.065,3.3,7.52,12.5,2.3,12.8,19.7,7.1,0,0
