Sample,Sum formula,O count,DBE,Cnd_ 9,Cnd_2,Cnd_ 4,Cnd_ 5,Cnd_ 3,Cnd_ 4**,Cnd_ 5**,Cnd_ 6,Cnd_ 8,Cnd_ 7,Feed
Cyclic ketones (cyclohexenones)_153.0914,C9H14O2,2,3,8708,3092,9943,9579,5642,7389,10481,2937,10005,9478,176
neg_112_159.04291,C8H10O2,2,4,962,798,959,496,685,776,958,293,718,953,708
neg_114_159.06351,C7H12O4,4,2,584,808,392,119,669,484,316,29,261,290,31
neg_115_159.06693,C7H12O4,4,2,365,963,289,125,653,340,203,35,276,198,32
Benzofurans and derivatives_161.02293,C9H6O3,3,7,137,418,18,8,102,129,25,5,10,11,1202
Hydroxy coumarin derivatives_161.02383,C9H6O3,3,7,4274,10890,629,84,4385,3465,1158,30,557,349,17501
Umbelliferone_161.02408,C9H6O3,3,7,4612,8807,1385,226,5755,4634,2058,56,1299,1099,11015
Aminophenols?_108.04508,C6H7NO,1,4,318,842,397,152,686,357,264,49,392,256,912
Hydroxy cinnamaldehydes_161.06003,C10H10O2,2,6,11058,15845,13302,6061,15487,13438,8894,1071,8580,6967,16630
Hydroxy cinnamaldehydes_161.06032,C10H10O2,2,6,5914,8689,7296,2441,8692,6231,4504,463,3517,3080,8305
neg_127_161.06042,C10H10O2,2,6,13893,22125,16842,6774,20901,16521,10523,973,9761,7876,20255
Eugenol_163.07498,C10H12O2,2,5,2634,3907,3058,1034,3663,2993,1623,97,1621,1232,3818
Hydroxy 1arRings_165.05498,C9H10O3,3,5,1208,1721,1098,488,1690,1359,742,177,861,701,1458
neg_147_165.0558,C9H10O3,3,5,12714,8613,7967,7300,8637,10675,12857,5739,11334,11933,14221
Resorcinols_Diol_165.09042,C10H14O2,2,4,2230,558,2456,2265,1256,1804,2805,947,2653,2268,369
Diol-1arRings (catechols)_165.09164,C10H14O2,2,4,4085,3886,4842,4902,3909,4471,4520,5412,5026,4814,3506
neg_157_167.07069,C9H12O3,3,4,821,1759,675,60,1665,1034,317,13,279,168,359
Cyclic ketones (cyclohexenones)_167.10658,C10H16O2,2,3,3940,1767,4957,3966,3044,3391,4492,1566,4133,3866,58
Cyclic ketones (cyclohexenones)_167.10703,C10H16O2,2,3,9774,1032,12122,16206,3017,8383,15791,7132,15273,14798,140
"Aliphatic alcohol, hydroxy acid or lactones_169.08714",C9H14O3,3,3,1440,234,1806,421,1076,1356,780,41,859,720,19
neg_166_173.05615,C6H10N2O4,4,3,524,908,650,324,972,479,453,138,388,367,591
neg_168_173.05981,C11H10O2,2,7,96,788,70,46,178,53,48,14,47,28,1475
neg_172_173.06058,C11H10O2,2,7,480,485,429,187,462,468,596,229,598,615,562
Hydroxycoumarins_175.03928,C10H8O3,3,7,5156,7902,4173,2610,5903,5346,4530,1415,3889,4329,8448
Hydroxycoumarins_175.03935,C10H8O3,3,7,7249,10397,5420,2850,8435,7322,5371,1326,4427,3875,11797
neg_179_175.07646,C11H12O2,2,6,1146,1789,1319,671,1511,1325,1037,152,791,748,1208
Methoxyphenols_177.05623,C10H10O3,3,6,679,505,721,841,454,659,793,930,959,830,377
4-Hydroxystyrene?_119.04971,C8H8O,1,5,489,326,365,374,342,382,471,260,438,430,323
Methoxyphenols_179.06873,C10H12O3,3,5,460,313,282,367,373,416,609,354,547,511,368
Methoxyphenols_179.07048,C10H12O3,3,5,157,1190,198,43,830,371,37,30,48,67,106
Methoxyphenols_179.07089,C10H12O3,3,5,5504,3656,3840,3496,3788,4306,5467,2650,5624,5895,6104
Resorcinols_Diol_179.10762,C11H16O2,2,4,2086,591,1560,1908,1035,1313,2432,1147,2653,2155,180
Lignin-derived_1_181.08754,C10H14O3,3,4,1166,2029,655,68,1920,760,300,34,182,173,106
Cyclic ketones (cyclohexenones)_181.1218,C11H18O2,2,3,2789,781,3162,3398,1613,1945,3946,1969,3666,3731,49
Cyclic ketones (cyclohexenones)_181.12209,C11H18O2,2,3,2038,370,2724,3800,645,1358,3810,2424,3198,3765,24
Benzoic acid_121.02956,C7H6O2,2,5,138,416,148,90,178,115,104,61,95,56,898
"Aliphatic alcohol, hydroxy acid or lactones_183.10098",C10H16O3,3,3,916,204,1717,633,701,1260,721,50,1118,600,39
Furanocoumarin_185.02498,C11H6O3,3,9,253,276,61,11,144,190,100,0,29,36,1204
4-ethylphenol_121.06583,C8H10O,1,4,7565,5178,4564,3681,5269,5176,7391,3131,6058,6895,7385
Azulene or napthalene carboxylic acid derivatives_185.06006,C12H10O2,2,8,509,1200,490,138,989,697,363,92,170,201,1311
neg_225_185.08063,C9H14O4,4,3,412,103,571,120,341,622,247,9,334,231,19
neg_228_187.039,C11H8O3,3,8,497,976,518,468,683,685,433,257,585,392,805
neg_230_187.07448,C10H14O2,2,4,668,1600,503,170,975,851,376,25,224,187,2345
Hydroxycoumarins_189.05576,C11H10O3,3,7,3476,4353,2976,1656,3985,3488,2941,952,2590,2410,3749
Hydroxycoumarins_189.05603,C11H10O3,3,7,708,996,780,544,790,717,686,408,655,620,1252
Methoxyphenols_191.07144,C11H12O3,3,6,673,955,783,549,889,661,656,425,664,621,976
Lignin-derived_2_191.07149,C11H12O3,3,6,991,784,1170,976,1271,830,1019,804,779,940,669
neg_250_191.10664,C12H16O2,2,5,793,312,1775,1806,1019,800,1145,1626,1361,1516,160
neg_252_191.10773,C12H16O2,2,5,886,1728,2054,1831,1899,1159,1234,1585,1423,1228,265
9-Hydroxyphenanthrene_193.06689,C14H14O,1,8,933,1331,869,783,1011,1048,1108,778,719,854,757
Resorcinols_Diol_193.12206,C12H18O2,2,4,803,121,1133,711,404,921,822,393,600,711,45
neg_261_195.04398,C11H10O2,2,7,766,2737,607,77,1945,1130,302,53,220,165,3909
OH-3arRings_195.0446,C13H8O2,2,10,75,198,51,17,101,92,41,11,28,33,563
Phenylpropanoic acids_195.06717,C10H20O4,4,1,221,2024,249,20,911,390,39,9,35,39,49
Cyclic ketones (cyclohexenones)_195.13754,C12H20O2,2,3,1307,318,1434,2158,672,925,2225,1672,1828,2006,23
neg_274_197.05899,C13H10O2,2,9,725,1389,918,210,1370,1144,703,72,496,379,1733
neg_277_197.06096,C13H10O2,2,9,876,1696,1280,338,1627,1110,660,76,516,544,1658
"Aliphatic alcohol, hydroxy acid or lactones_197.11678",C11H18O3,3,3,1120,334,2458,545,1340,1833,756,20,1274,729,26
"Aliphatic alcohol, hydroxy acid or lactones_197.117",C11H18O3,3,3,881,174,1649,464,721,1316,562,23,749,574,12
"Aliphatic alcohol, hydroxy acid or lactones_197.11722",C11H18O3,3,3,699,258,1522,560,973,1162,580,23,672,611,14
neg_284_199.04039,C12H8O3,3,9,1827,2341,2121,1784,2135,1657,2212,1649,1882,2334,2270
neg_288_199.07468,C13H12O2,2,8,543,700,628,740,695,507,575,592,801,525,946
neg_289_199.07561,C13H12O2,2,8,202,1320,176,136,413,142,113,68,130,141,260
Azulene or napthalene carboxylic acid derivatives_199.0759,C13H12O2,2,8,838,1119,791,549,941,715,794,637,736,667,987
Hydroxynaphthalenes_199.11208,C14H16O,1,7,541,290,829,749,504,528,762,863,737,705,154
neg_297_201.05457,C12H10O3,3,8,652,1024,883,460,986,1032,654,67,608,472,1056
neg_298_201.05617,C12H10O3,3,8,281,630,318,198,519,270,214,121,251,313,596
neg_300_201.09175,C13H14O2,2,7,1341,1037,1714,845,1519,1489,1186,256,1221,1047,558
Hydroxy coumarin derivatives_203.06987,C12H12O3,3,7,1146,1010,1205,858,1033,1046,1147,517,1022,1109,1032
Hydroxy cinnamaldehydes_203.10478,C13H16O2,2,6,498,557,457,353,459,426,515,243,432,321,1330
neg_309_205.12146,C13H18O2,2,5,846,424,1376,1420,827,872,1012,1348,1156,1187,75
neg_310_205.12227,C13H18O2,2,5,1106,232,1651,2457,633,1027,1832,2119,1742,1821,77
neg_311_205.12308,C13H18O2,2,5,208,819,567,481,548,214,344,634,578,390,108
neg_312_205.12369,C13H18O2,2,5,473,341,573,414,567,592,429,145,472,309,37
Alkyl-phenylketones?_207.07788,C10H12N2O3,3,6,1578,1718,1866,1435,1656,1723,1838,1417,1658,1579,1824
Benzofurans-OH_209.05968,C14H10O2,2,10,1995,1976,2152,1653,1743,1839,2142,1431,2014,2088,1935
OH-3arRings_209.05983,C14H10O2,2,10,625,1622,598,102,1370,675,325,61,227,167,1451
OH-3arRings_209.06076,C14H10O2,2,10,714,887,776,817,803,702,879,708,731,722,611
Esters?_209.15654,C13H22O2,2,3,519,94,692,886,283,318,899,955,715,861,21
neg_331_211.07492,C14H12O2,2,9,538,659,561,649,476,662,592,460,670,540,939
neg_336_213.0527,C13H10O3,3,9,728,653,786,548,688,713,685,546,642,707,759
neg_337_213.05307,C11H12O3,3,6,609,848,793,570,786,550,689,552,739,764,696
neg_338_213.05518,C13H10O3,3,9,2623,2911,2757,2222,2478,2124,2605,2303,1912,2371,2591
Cyclic ketones (cyclohexenones)_125.05978,C7H10O2,2,3,3941,1916,5319,2310,3649,4366,3203,489,3527,2745,228
neg_346_215.07005,C13H12O3,3,8,278,539,337,263,394,404,320,116,275,223,990
neg_350_215.10849,C14H16O2,2,7,593,468,710,556,519,825,657,336,800,642,406
neg_352_217.06499,C16H10O,1,12,807,1066,917,888,1017,923,1022,775,940,1030,993
Hydroxy acetophenones or chromones_217.08661,C13H14O3,3,7,1362,2512,1480,420,2142,2025,1026,100,916,587,359
Hydroxy cinnamaldehydes_217.12218,C14H18O2,2,6,310,582,325,272,388,254,161,164,215,274,1070
Diol or catechol_221.15297,C14H22O2,2,4,768,1090,1031,924,909,968,1217,925,999,1156,841
neg_364_223.07285,C13H14O2,2,7,1137,1289,1034,996,1306,889,1185,929,1106,1038,1141
Benzofurans-OH_223.07637,C15H12O2,2,10,1691,1802,1601,1551,1459,1536,1706,1264,1711,1554,1565
neg_369_225.04959,C7H12N2O5,5,3,2066,2665,2101,1572,2588,1539,2122,1362,1563,2161,1917
"Aliphatic alcohol, hydroxy acid or lactones_127.04058",C6H8O3,3,3,883,706,584,145,826,550,454,41,216,255,123
Hydroxy 2arRings_225.05524,C14H10O3,3,10,941,1425,1297,975,1208,817,1276,943,1037,1118,1101
neg_372_225.05771,C14H10O3,3,10,605,676,822,656,624,595,619,567,649,696,926
Stilbenes?_OH_225.09036,C15H14O2,2,9,2369,4730,1353,500,3140,2457,1228,290,1052,966,3656
neg_380_227.06969,C14H12O3,3,9,1071,929,973,1027,997,1042,1121,927,1098,1098,1205
neg_385_227.10803,C15H16O2,2,8,850,910,893,982,988,796,1141,1016,895,1079,834
neg_389_229.08548,C14H14O3,3,8,226,353,188,115,191,152,153,77,145,143,1435
neg_391_229.12273,C15H18O2,2,7,1079,609,1219,846,858,835,1082,344,986,876,139
neg_395_231.08159,C17H12O,1,12,489,583,596,465,488,502,523,331,552,465,653
Hydroxy acetophenones or chromones_231.10297,C14H16O3,3,7,818,1365,885,259,1086,1304,732,95,671,364,439
Hydroxy acetophenones or chromones_231.10309,C14H16O3,3,7,798,1178,763,322,859,1022,567,130,557,293,267
Methoxyphenols_235.13155,C14H20O3,3,5,286,405,1608,429,989,1056,315,76,461,334,71
Carboxylic acid esters_235.13397,C14H20O3,3,5,268,2506,550,67,1763,626,157,22,150,133,2751
Furanones_235.13541,C14H20O3,3,5,109,887,133,30,392,117,54,26,44,78,277
Cinnamic acid amides?_236.10437,C16H15NO,1,10,1647,1880,1632,1883,1659,2054,1875,2101,1855,2433,1817
Benzofurans-OH_237.09213,C16H14O2,2,10,700,834,782,826,878,915,884,627,807,784,848
